CRIME,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,PRICE
high,0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,354.7,7.12,27.5
low,0,8.14,0,0.538,5.95,82,3.99,4,307,21,232.6,27.71,13.2
very_low,82.5,2.03,0,0.415,6.162,38.4,6.27,2,348,14.7,393.77,7.43,24.1
low,0,21.89,0,0.624,6.151,97.9,1.6687,4,437,21.2,396.9,18.46,17.8
high,0,18.1,0,0.614,6.98,67.6,2.5329,24,666,20.2,374.68,11.66,29.8
low,0,6.2,0,0.507,6.086,61.5,3.6519,8,307,17.4,376.75,10.88,24
very_low,22,5.86,0,0.431,6.438,8.9,7.3967,7,330,19.1,377.07,3.59,24.8
very_low,0,4.39,0,0.442,6.014,48.5,8.0136,3,352,18.8,385.64,10.53,17.5
low,0,9.9,0,0.544,6.113,58.8,4.0019,,304,18.4,396.23,12.73,21
high,0,18.1,0,0.583,5.905,53.2,3.1523,24,666,20.2,388.22,11.45,20.6
very_low,0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,393.43,10.13,24.7
low,20,3.97,0,0.647,8.704,86.9,1.801,5,264,13,389.7,5.12,50
very_low,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27,18.9
very_low,40,6.41,1,0.447,6.826,27.6,4.8628,4,254,17.6,393.45,4.16,33.1
very_low,22,5.86,0,0.431,6.226,79.2,8.0555,7,330,19.1,376.14,10.15,20.5
very_low,0,7.38,0,0.493,6.083,43.7,5.4159,5,287,19.6,396.9,12.79,22.2
low,0,9.9,0,0.544,6.266,82.8,3.2628,4,304,18.4,393.39,7.9,21.6
low,0,6.2,0,0.504,7.163,79.9,3.2157,8,307,17.4,372.08,6.36,31.6
high,0,18.1,0,0.74,6.461,93.3,2.0026,24,666,20.2,27.49,18.05,9.6
low,0,8.14,0,0.538,6.072,100,4.175,4,307,21,376.73,13.04,14.5
very_low,95,2.68,0,0.4161,7.853,33.2,5.118,4,224,14.7,392.78,3.81,48.5
very_low,0,6.91,0,,6.211,6.5,5.7209,3,233,17.9,394.46,7.44,24.7
high,0,18.1,0,0.659,5.608,100,1.2852,24,666,20.2,332.09,12.13,27.9
high,0,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,50.92,18.13,14.1
very_low,25,5.13,0,0.453,6.456,67.8,7.2255,8,284,19.7,396.9,6.73,22.2
high,0,18.1,1,0.77,5.803,89,1.9047,24,666,20.2,353.04,14.64,16.8
very_low,0,12.83,0,0.437,6.273,6,4.2515,5,398,18.7,394.92,6.78,24.1
very_low,20,6.96,0,0.464,6.538,58.7,3.9175,3,223,18.6,394.96,7.73,24.4
high,0,19.58,0,0.871,5.468,100,1.4118,5,403,14.7,396.9,26.42,15.6
high,0,18.1,0,0.693,5.887,94.7,1.7821,24,666,20.2,396.9,16.35,12.7
low,0,6.2,0,0.504,8.266,78.3,2.8944,8,307,17.4,385.05,4.14,44.8
very_low,12.5,6.07,0,0.409,5.594,36.8,6.498,4,345,18.9,396.9,13.09,17.4
very_low,0,4.05,0,0.51,6.546,33.1,3.1323,5,296,16.6,390.96,5.33,29.4
high,0,18.1,1,0.718,6.545,82.9,1.9047,24,666,20.2,354.55,5.29,21.9
high,0,18.1,0,0.7,5.52,100,1.5331,24,666,20.2,396.9,24.56,12.3
very_low,0,2.46,0,0.488,7.765,83.3,2.741,3,193,17.8,395.56,7.56,39.8
very_low,0,8.56,0,0.52,5.851,96.7,2.1069,5,384,20.9,394.05,16.47,19.5
very_low,0,2.46,0,0.488,6.153,68.8,3.2797,3,193,17.8,387.11,13.15,29.6
very_low,80,4.95,0,0.411,6.63,23.4,5.1167,4,245,19.2,396.9,4.7,27.9
very_low,0,6.91,0,0.448,5.602,62,6.0877,3,233,17.9,396.9,16.2,19.4
low,20,3.97,0,0.575,7.47,52.6,2.872,5,264,13,390.3,3.16,43.5
low,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,380.02,10.26,18.2
low,0,21.89,0,0.624,5.857,98.2,1.6686,4,437,21.2,392.04,21.32,13.3
low,22,5.86,0,0.431,6.108,34.9,8.0555,7,330,19.1,390.18,9.16,24.3
very_low,0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,396.9,8.77,21
very_low,21,5.64,0,0.439,5.963,45.7,6.8147,4,243,16.8,395.56,13.45,19.7
low,0,25.65,0,0.581,5.613,95.6,1.7572,2,188,19.1,359.29,27.26,15.7
very_low,0,2.89,0,0.445,6.625,57.8,3.4952,2,276,18,357.98,6.65,28.4
very_low,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,393.53,3.57,43.8
very_low,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,392.74,18.8,16.6
very_low,0,10.59,0,0.489,6.375,32.3,3.9454,4,277,18.6,385.81,9.38,28.1
low,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,392.53,13.83,19.6
very_low,0,4.05,0,0.51,6.416,84.1,2.6463,5,296,16.6,395.5,9.04,23.6
very_low,40,6.41,0,0.447,6.854,42.8,4.2673,4,254,17.6,396.9,2.98,32
low,0,9.9,0,0.544,6.382,67.2,3.5325,4,304,18.4,395.21,10.36,23.1
high,0,18.1,0,0.718,6.411,100,1.8589,24,666,20.2,318.75,15.02,16.7
high,0,18.1,0,0.693,6.404,100,1.639,24,666,20.2,376.11,20.31,12.1
very_low,0,10.01,0,0.547,6.021,82.6,2.7474,6,432,17.8,394.51,10.3,19.2
very_low,35,6.06,0,0.4379,5.706,28.4,6.6407,1,304,16.9,394.02,12.43,17.1
low,0,6.2,0,0.504,5.981,68.1,3.6715,8,307,17.4,378.35,11.65,24.3
very_low,25,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,395.11,13.15,18.7
very_low,52.5,5.32,0,0.405,6.565,22.9,7.3172,6,293,16.6,371.72,9.51,24.8
very_low,22,5.86,0,0.431,6.957,6.8,8.9067,7,330,19.1,386.09,3.53,29.6
very_low,0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,395.99,12.86,22.5
very_low,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,396.9,10.59,20.6
high,0,18.1,0,0.584,5.427,95.4,2.4298,24,666,20.2,352.58,18.14,13.8
low,0,19.58,1,0.605,7.802,98.2,2.0407,5,403,14.7,389.61,1.92,50
very_low,0,5.19,0,0.515,6.31,38.5,6.4584,5,224,20.2,389.4,6.75,20.7
very_low,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14,21.6
low,0,19.58,0,0.605,5.875,94.6,2.4259,5,403,14.7,292.29,14.43,17.4
low,0,10.59,0,0.489,5.412,9.8,3.5875,4,277,18.6,348.93,29.55,23.7
very_low,80,3.64,0,0.392,6.108,32,9.2203,1,315,16.4,392.89,6.57,21.9
very_low,0,11.93,0,0.573,6.12,76.7,2.2875,1,273,21,396.9,9.08,20.6
very_low,55,3.78,0,0.484,6.874,28.1,6.4654,5,370,17.6,387.97,4.61,31.2
high,0,19.58,0,0.605,5.88,97.3,2.3887,5,403,14.7,348.13,12.03,19.1
very_low,0,3.24,0,0.46,6.333,17.2,5.2146,4,430,16.9,375.21,7.34,22.6
high,0,18.1,0,0.631,4.97,100,1.3325,24,666,20.2,375.52,3.26,50
very_low,0,11.93,0,0.573,6.03,80.8,2.505,1,273,21,396.9,7.88,11.9
very_low,0,5.96,0,0.499,5.841,61.4,3.3779,5,279,19.2,377.56,11.41,20
high,0,18.1,0,0.679,5.304,89.1,1.6475,24,666,20.2,127.36,26.64,10.4
very_low,52.5,5.32,0,0.405,6.209,31.3,7.3172,6,293,16.6,396.9,7.14,23.2
high,0,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,396.9,13.22,21.4
very_low,25,4.86,0,0.426,6.302,32.2,5.4007,4,281,19,396.9,6.72,24.8
low,0,10.59,1,0.489,5.404,88.6,3.665,4,277,18.6,395.24,23.98,19.3
high,0,18.1,0,0.532,6.242,64.7,3.4242,24,666,20.2,396.9,10.74,23
very_low,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03,34.7
very_low,0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,396.9,5.5,23.6
very_low,80,1.91,0,0.413,5.663,21.9,10.5857,4,334,22,382.8,8.05,18.2
high,0,18.1,0,0.659,4.138,100,1.1781,24,666,20.2,370.22,23.34,11.9
very_low,0,2.46,0,0.488,7.831,53.6,3.1992,3,193,17.8,392.63,4.45,50
low,0,7.38,0,0.493,6.041,49.9,4.7211,5,287,19.6,396.9,7.7,20.4
low,0,19.58,0,0.871,5.404,100,1.5916,5,403,14.7,341.6,13.28,19.6
low,0,6.2,0,0.507,8.247,70.4,3.6519,8,307,17.4,378.95,3.95,48.3
high,0,19.58,0,0.871,5.186,93.8,1.5296,5,403,14.7,356.99,28.32,17.8
very_low,0,4.49,0,0.449,6.389,48,4.7794,3,247,18.5,396.9,9.62,23.9
high,0,18.1,0,0.74,6.219,100,2.0048,24,666,20.2,395.69,16.59,18.4
high,0,18.1,0,0.655,5.759,48.2,3.0665,24,666,20.2,334.4,14.13,19.9
high,0,18.1,0,0.671,6.38,96.2,1.3861,24,666,20.2,396.9,23.69,13.1
low,0,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.4,390.7,18.33,17.8
high,0,18.1,0,0.693,5.453,100,1.4896,24,666,20.2,396.9,30.59,5
